symptoms,condition,domain
"I've noticed I'm getting a lot of hair on my chin and my periods are super irregular lately.",pcos,women
"Dealing with stubborn acne as an adult and my cycles are all over the place.",pcos,women
"My hair is thinning on top but I'm seeing more growth on my face and chest.",pcos,women
"Haven't had a period in three months and I've been gaining weight around my middle for no reason.",pcos,women
"Polycystic ovaries were mentioned at my last checkup and I have very oily skin.",pcos,women
"Cycles are longer than 35 days and I'm struggling with facial hair growth.",pcos,women
"Period is very infrequent and I'm noticing dark patches of skin around my neck.",pcos,women
"It feels like I only get my period four or five times a year now.",pcos,women
"Weight gain that won't budge and very heavy but rare menstrual cycles.",pcos,women
"Excessive hair growth on my stomach and back along with skipped periods.",pcos,women
"My skin is breaking out like a teenager and my periods have basically stopped.",pcos,women
"Thinning hair on my scalp and I'm exhausted all the time with irregular cycles.",pcos,women
"The hair growth on my upper lip is getting worse and my periods are unpredictable.",pcos,women
"Been trying to conceive but my ovulation seems non-existent and my periods are random.",pcos,women
"Very oily face and scalp with long gaps between my monthly cycles.",pcos,women
"I've gained 15 pounds quickly and my periods are suddenly very light and rare.",pcos,women
"Dealing with hirsutism and my cycles are getting longer and longer.",pcos,women
"Missing periods for months at a time and noticing more body hair than usual.",pcos,women
"Acne along my jawline that won't go away and irregular menstruation.",pcos,women
"My cycle length varies every single month and I've noticed male-pattern hair thinning.",pcos,women
"Periods are missing or very late and I have visible hair growth on my chin.",pcos,women
"Difficulty losing weight and my menstrual cycle is extremely inconsistent.",pcos,women
"Patchy skin and infrequent periods for the last six months.",pcos,women
"My periods are nearly two months apart and I have breakouts on my back.",pcos,women
"Hormonal acne and very long cycles are making me feel frustrated.",pcos,women
"My period didn't come this month and the last one was two weeks late.",menstrual_irregularity,women
"Cycles used to be 28 days but now they are ranging from 21 to 45 days.",menstrual_irregularity,women
"I'm spotting between my periods and the timing is never the same.",menstrual_irregularity,women
"My flow started twice this month and I'm confused about my cycle.",menstrual_irregularity,women
"Having very short cycles lately where I bleed every three weeks.",menstrual_irregularity,women
"My period lasted ten days this time but only two days last month.",menstrual_irregularity,women
"I missed my period entirely but I'm definitely not pregnant.",menstrual_irregularity,women
"The gap between my periods is getting shorter and shorter.",menstrual_irregularity,women
"Random bleeding throughout the month that isn't a full period.",menstrual_irregularity,women
"I can't track my cycle anymore because the dates change every time.",menstrual_irregularity,women
"Very light spotting instead of a regular period this month.",menstrual_irregularity,women
"My periods are becoming very infrequent and hard to predict.",menstrual_irregularity,women
"Experienced a very heavy flow after missing my period for two months.",menstrual_irregularity,women
"My menstrual start date fluctuates by more than a week every time.",menstrual_irregularity,women
"I had a period two weeks ago and it seems to be starting again.",menstrual_irregularity,women
"Chronic changes in my cycle length over the last half year.",menstrual_irregularity,women
"Frequent breakthroughs bleeding even though I'm not on medication.",menstrual_irregularity,women
"My period is 12 days late and this happens almost every other month.",menstrual_irregularity,women
"Cycles are consistently lasting over 40 days now.",menstrual_irregularity,women
"The duration of my bleeding varies significantly from month to month.",menstrual_irregularity,women
"Short periods followed by very long cycles the next time.",menstrual_irregularity,women
"My monthly cycle has become completely unpredictable lately.",menstrual_irregularity,women
"Bleeding between cycles that is light but noticeable.",menstrual_irregularity,women
"I missed two periods in a row and then had a very heavy one.",menstrual_irregularity,women
"The timing of my period is never consistent anymore.",menstrual_irregularity,women
"I'm experiencing night sweats and my moods are swinging wildly.",hormonal_imbalance,women
"Feeling very irritable lately and noticing changes in my skin and hair.",hormonal_imbalance,women
"Having trouble sleeping and feeling hot flashes during the day.",hormonal_imbalance,women
"My energy levels are low and I'm gaining weight in some places.",hormonal_imbalance,women
"Significant mood shifts right before my period that feel extreme.",hormonal_imbalance,women
"I feel foggy headed and my skin has become very dry lately.",hormonal_imbalance,women
"Sudden bouts of anxiety and heart palpitations that come and go.",hormonal_imbalance,women
"Feeling a loss of libido and general fatigue regardless of sleep.",hormonal_imbalance,women
"My hair is falling out more than usual and I feel very cold.",hormonal_imbalance,women
"Unexplained weight changes and persistent adult acne.",hormonal_imbalance,women
"Bouts of extreme fatigue followed by periods of restlessness.",hormonal_imbalance,women
"I'm getting hot flashes and I'm only in my late 30s.",hormonal_imbalance,women
"Memory feels fuzzy and I'm struggling to concentrate on tasks.",hormonal_imbalance,women
"Feeling very bloated and my breasts are tender for weeks.",hormonal_imbalance,women
"Mood swings that make me feel like a different person.",hormonal_imbalance,women
"Persistent thirst and frequent urination along with fatigue.",hormonal_imbalance,women
"Developing dark hair on my face and my voice feels slightly deeper.",hormonal_imbalance,women
"Sweating excessively at night even when the room is cold.",hormonal_imbalance,women
